key,databaseFilmTitle,FilmTitle,AlternateTitle,ARR_TitleArray,Year,Director,ARR_DirectorArray,Country,ARR_CountryArray,1952rank,1952votes,1962rank,1962votes,1972rank,1972votes,1982rank,1982votes,1992rank,1992votes,2002rank,2002votes,2012rank,2012votes,2022rank,2022votes
4570,Ulysses' Gaze,Ulysses' Gaze,,Ulysses' Gaze,1995,Theodoros Angelopoulos,Theodoros Angelopoulos,Greece,Greece,,0,,0,,0,,0,,0,,0,899,1,1652,1
4571,Ulzana's Raid,Ulzana's Raid,,Ulzana's Raid,1972,Robert Aldrich,Robert Aldrich,United States,United States,,0,,0,,0,217,1,217,1,,0,,0,,0
4572,Umberto D.,Umberto D.,,Umberto D.,1952,Vittorio De Sica,Vittorio De Sica,Italy,Italy,,0,20,7,155,1,80,3,,0,131,2,234,7,354,8
4573,Umut,Umut,,Umut,2009,Murat Aslan,Murat Aslan,Turkey,Turkey,,0,,0,,0,,0,,0,,0,,0,1652,1
4574,Un Balcon en Afrique,Un Balcon en Afrique,,Un Balcon en Afrique,1980,Anita Fernández,Anita Fernández,Guinea-Bissau,Guinea-Bissau,,0,,0,,0,,0,,0,,0,,0,1652,1
4575,Un chien andalou,Un chien andalou,,Un chien andalou,1929,Luis Buñuel,Luis Buñuel,France,France,,0,,0,,0,130,2,62,4,89,3,93,17,169,17
4576,Un flic,Un flic,,Un flic,1972,Jean-Pierre Melville,Jean-Pierre Melville,France,France,,0,,0,,0,,0,,0,,0,,0,1652,1
4577,Unbreakable,Unbreakable,,Unbreakable,2000,M. Night Shyamalan,M. Night Shyamalan,United States,United States,,0,,0,,0,,0,,0,,0,,0,1652,1
4578,Uncle Boonmee Who Can Recall His Past Lives,Uncle Boonmee Who Can Recall His Past Lives,Loong Boonmee raleuk chat,Uncle Boonmee Who Can Recall His Past Lives; Loong Boonmee raleuk chat,2010,Apichatpong Weerasethakul,Apichatpong Weerasethakul,Thailand,Thailand,,0,,0,,0,,0,,0,,0,201,8,196,15
4579,Uncle Yanco,Uncle Yanco,Oncle Yanco,Uncle Yanco; Oncle Yanco,1967,Agnès Varda,Agnès Varda,United States,United States,,0,,0,,0,,0,,0,,0,,0,1652,1
4580,Under Capricorn,Under Capricorn,,Under Capricorn,1949,Alfred Hitchcock,Alfred Hitchcock,United Kingdom,United Kingdom,,0,,0,,0,217,1,,0,,0,,0,1652,1
4581,Under Snow,Under Snow,Unter Schnee,Under Snow; Unter Schnee,2011,Ulrike Ottinger,Ulrike Ottinger,Germany,Germany,,0,,0,,0,,0,,0,,0,,0,1652,1
4582,Under the Bridges,Under the Bridges,Unter den Brücken,Under the Bridges; Unter den Brücken,1946,Helmut Käutner,Helmut Käutner,Germany,Germany,,0,,0,,0,,0,,0,,0,899,1,,0
4583,Under the Roofs of Paris,Under the Roofs of Paris,Sous lse toits de Paris,Under the Roofs of Paris; Sous lse toits de Paris,1930,René Clair,René Clair,France,France,35,4,77,1,,0,,0,,0,,0,,0,,0
4584,Under the Skin (1997),Under the Skin,,Under the Skin,1997,Carine Adler,Carine Adler,United Kingdom,United Kingdom,,0,,0,,0,,0,,0,,0,,0,1652,1
4585,Under the Skin (2013),Under the Skin,,Under the Skin,2013,Jonathan Glazer,Jonathan Glazer,United Kingdom,United Kingdom,,0,,0,,0,,0,,0,,0,,0,169,17
4586,Under the Skin of the Sky,Under the Skin of the Sky,Zir-e poost-e shahr,Under the Skin of the Sky; Zir-e poost-e shahr,2001,Rakhshan Bani-Etemad,Rakhshan Bani-Etemad,Iran,Iran,,0,,0,,0,,0,,0,,0,,0,1652,1
4587,Under the Volcano,Under the Volcano,,Under the Volcano,1984,John Huston,John Huston,United States,United States,,0,,0,,0,,0,,0,,0,597,2,,0
4588,Under the Wire,Under the Wire,,Under the Wire,2018,Chris Martin,Chris Martin,United Kingdom,United Kingdom,,0,,0,,0,,0,,0,,0,,0,1652,1
4589,Underground,Underground,,Underground,1995,Emir Kusturica,Emir Kusturica,Yugoslavia,Yugoslavia,,0,,0,,0,,0,,0,,0,597,2,462,6
4590,Unfaithfully Yours,Unfaithfully Yours,,Unfaithfully Yours,1948,Preston Sturges,Preston Sturges,United States,United States,,0,,0,,0,,0,,0,,0,,0,1652,1
4591,Unfinished Diary,Unfinished Diary,Journal inachevé,Unfinished Diary; Journal inachevé,1982,Marilú Mallet,Marilú Mallet,"Canada, Chile",Canada; Chile,,0,,0,,0,,0,,0,,0,,0,1652,1
4592,Unforgiven,Unforgiven,,Unforgiven,1992,Clint Eastwood,Clint Eastwood,United States,United States,,0,,0,,0,,0,217,1,131,2,597,2,1105,2
4593,United Kingdom,United Kingdom,Play for Today: United Kingdom,United Kingdom; Play for Today: United Kingdom,1981,Roland Joffé,Roland Joffé,United Kingdom,United Kingdom,,0,,0,,0,,0,,0,,0,,0,1652,1
4594,Unknown Pleasures,Unknown Pleasures,Ren xiao yao,Unknown Pleasures; Ren xiao yao,2002,Jia Zhangke,Jia Zhangke,China,China,,0,,0,,0,,0,,0,,0,597,2,,0
4595,Unknown to the City,Unknown to the City,Ignoti alla città,Unknown to the City; Ignoti alla città,1958,Cecilia Mangini,Cecilia Mangini,Italy,Italy,,0,,0,,0,,0,,0,,0,,0,1652,1
4596,Unrelated,Unrelated,,Unrelated,2007,Joanna Hogg,Joanna Hogg,United Kingdom,United Kingdom,,0,,0,,0,,0,,0,,0,,0,1652,1
4597,Unrest,Unrest,,Unrest,2017,Jennifer Brea,Jennifer Brea,United States,United States,,0,,0,,0,,0,,0,,0,,0,1652,1
4598,Unsere Afrikareise,Unsere Afrikareise,,Unsere Afrikareise,1966,Peter Kubelka,Peter Kubelka,Austria,Austria,,0,,0,,0,,0,217,1,,0,597,2,1652,1
4599,Unstoppable,Unstoppable,,Unstoppable,2010,Tony Scott,Tony Scott,United States,United States,,0,,0,,0,,0,,0,,0,,0,1652,1
4600,Untitled,Untitled,,Untitled,2017,"Michael Glawogger, Monika Willi",Michael Glawogger; Monika Willi,Austria,Austria,,0,,0,,0,,0,,0,,0,,0,1652,1
4601,Untitled #1: Dance of Leitfossil,Untitled #1: Dance of Leitfossil,Sem Título # 1: Dance of Leitfossil,Untitled #1: Dance of Leitfossil; Sem Título # 1: Dance of Leitfossil,2014,Carlos Adriano,Carlos Adriano,Brazil,Brazil,,0,,0,,0,,0,,0,,0,,0,1652,1
4602,Up,Up,,Up,2009,"Pete Docter, Bob Peterson",Pete Docter; Bob Peterson,United States,United States,,0,,0,,0,,0,,0,,0,899,1,1652,1
4603,Up the Junction,Up the Junction,"The Wednesday Play [S01, E37]: Up the Junction","Up the Junction; The Wednesday Play [S01, E37]: Up the Junction",1965,Ken Loach,Ken Loach,United Kingdom,United Kingdom,,0,,0,,0,,0,,0,,0,,0,1652,1
4604,Us,Us,,Us,2019,Jordan Peele,Jordan Peele,United States,United States,,0,,0,,0,,0,,0,,0,,0,553,5
4605,Utopia,Utopia,,Utopia,1983,Sohrab Shahid Saless,Sohrab Shahid Saless,West Germany,West Germany,,0,,0,,0,,0,,0,,0,,0,1105,2
4606,Utøya - July 22,Utøya - July 22,Utøya 22. Juli,Utøya - July 22; Utøya 22. Juli,2018,Erik Poppe,Erik Poppe,Norway,Norway,,0,,0,,0,,0,,0,,0,,0,1652,1
